"name","description","publication_date","sallary","region_name","employer","skills","work_experience","work_schedule"
младший аналитик качества данных (стажер),"м.тех — разработчик ит-решений и digital-партнёр группы м.видео-эльдорадо, ведущей российской компании в сфере потребительской электроники. м. тех фокусируется на цифровизации и автоматизации ритейла, а также развитии финтех-сервисов. стек технологий объединяет лучшее в онлайн и магазинах для бесшовного клиентского опыта, поддержки и развития бизнеса. конвейер &quot;категория&quot; аллоцирован на ряд продуктов, отвечающих за ассортимент, назначение цен и промо на товары, планирование спроса и формирование планов на закупку. конвейер принимает на вход задачи, связанные с созданием/изменением таблиц и потоков данных между хранилищами и продуктами, а также отчётностью в bi инструментах. стэк: green plum, sql, tableau задачи, что нужно будет делать:  анализировать задачи, уточнять требования у бизнес-пользователей разных дирекций компании, общаться с коллегами из исходных систем; включаться в процесс исследования источников данных, анализа и построения инсайтов; подключаться к задачам постановки задач разработчику; заниматься построением запросов и витрин; подключаться к задаче визуализации и описанию разработок по требованиям.  будет плюсом твой опыт:  сбора, анализа, спецификации, контроля требований к по; реверс-инжиниринга унаследованного кода (sql); построения сложных sql-запросов. опыт поиска данных, анализа их структуры и преобразований по метаданным; построения базы данных в соответствии с архитектурными паттернами; визуализации данных в bi-инструментах (sap bo, tableau); работы с python, знание библиотек numpy, pandas, matplotlib.  требования (опыт/навыки, особые пожелания):  обладаешь аналитическим складом ума, умеешь декомпозировать сложные вещи на более простые, можешь находить причинно-следственные связи и структурно излагать результаты своего анализа в виде схем и текстовых описаний; учишься на 3-4 курсе бакалавриата или 1-2 курсе магистратуры на бизнес-, технической или ит-специальности, окончил(а) вуз (по указанным специальностям), школу 21 или яндекс.практикум не более года назад; готов(а) работать от 20 часов в неделю (будет совсем круто, если ты можешь посещать офис, но это не обязательно).  что кандидат получит в результате стажировки:  только реальные задачи и инциденты платформы, которой каждый день пользуются тысячи пользователей; активное участие в работе команды - все по-настоящему, дейли-демо-ретро и очень много интересной работы; сложные профессиональные челленджи, которые позволят круто прокачать самые разные навыки (залезем и в системный анализ, и в тестирование); команду, готовую вложиться в человека, который правда хочет стать крутым экспертом. и персональный ментор, конечно; освоение современного стека технологий; зарплату, дополнительное обучение для всех стажёров, корпоративные мероприятия и другие преимущества стажировки в крупной компании; дмс предоставляется от сао «вск» через 3 месяца, скидки от партеров компании по программе “своим”-c 1-го дня работы. ",2023-11-22,70000,москва,м.видео-эльдорадо,python;sap;sql;tableau;аналитическое мышление,"0",полный день
инженер данных / data engineer,"ventra go! - сервис для быстрого заказа временного линейного персонала в сфере ритейла, e-comm, логистики и fmcg по uber-модели. ежедневно десятки тысяч пользователей выходят на работу с помощью нашего приложения. платформа позволила изменить пользовательский опыт как для линейного персонала, который получил возможность выводить заработанные средства ежедневно, так и для заказчиков, получающих услугу &quot;под ключ&quot; через мобильное приложение. мы не e-commerce и не поставщик commodity-сервисов. мы выросли в 3 раза за 2023 год, а на 2024 у нас ещё более амбициозные планы. у нас есть множество задач, которые не решил еще ни один сервис в мире. наш продукт - многоуровневый и сложный, а также имеет большую социальную значимость. мы помогаем находить работу и подработку без серых выплат и теневых схем, а также даем возможность найти дополнительный заработок людям из регионов и небольших городов. и сейчас мы в поиске инженера данных, который будет отвечать за инфраструктуру данных в нашей команде. основные задачи:   сборка витрин из сырых данных;   разработка и оптимизация пайплайнов сборки данных;   оптимизация существующих процессов обработки и преобразования данных;   моделирование бд;   создание дашбордов в bi системе;   работа с различными источниками данных: sql, api внешних систем, микросервисы;   разработка продвинутых процедур обработки данных, например с использованием геопространственных библиотек или ml;   внедрять новые инструменты dataops и mlops.   мы ожидаем, что вы:  уверенно владеете python и sql; работали с airflow; имеете опыт визуализации данных с bi инструментами superset, tableu и т.п.; готовы погружаться в предметную область при подготовке витрин данных.  будет плюсом:  опыт работы со spark; опыт работы с kafka; опыт построения сервисов с использованием fastapi; опыт построения сервисов с panel/streamlit/dash/etc; понимание и интерес к data science решениям и ml; опыт работы с любыми mpp субд - greenplum, clickhouse.  мы предлагаем:   достойную заработную плату и прозрачную систему мотивации;   официальное оформление по тк рф;   социальные программы (дмс, оплата больничного, программы мат. помощи, обучения и др.);   дополнительные оплачиваемые выходные дни;   возможность выбирать удобный формат и график работы (мы &quot;ок&quot; с удалёнкой, а также имеем комфортный офис);  энергичную и дружелюбную команду профессионалов; развитие в новом продукте, который качественно меняет рынок занятости; гибкость во всем, кроме ориентации на результат.  мы верим, что вместе добьемся успеха!  ",2023-11-30,28906,москва,ventra,apache airflow;api;apache kafka;машинное обучение;postgresql;python;sql;управление базами данных,"1-3",полный день
руководитель направления развития сегмента pa,"мтс банк – цифровой банк экосистемы мтс. мы задаем тренды банковской цифровой трансформации и развиваем финансовые сервисы нового поколения. вам предстоит:  разработка стратегии работы с pre-approve базами и ее поддержка/актуализация; сегментация клиентов для достижения требуемых показателей продаж кредитных продуктов по склонности взятию того или иного продукта, по ltv, по вероятности интереса к фин. услугам; построение процесса работы с сегментом pre-approve от момента поиска сегмента до момента прохождения клиентом продуктового пути в точке касания клиента с банком; кросс-функциональное взаимодействие с продуктовыми и x-sell командами, с кампейном и рисками; управление продуктовым жизненным циклом клиента; актуализация контактной политики для сегмента pre-approve; поиск и внедрение новых инструментов и подходов в работе с предодобренными предложениями;  мы ожидаем:  высшее профессиональное образование; опыт работы в банках, телекоме от 3-х лет по направлению crm/cvm/portfolio; опыт управления проектами будет преимуществом; знание принципов сегментации, управление жизненным циклом клиента, участие в кросс-функциональных проектах; уверенное знание excel, powerpoint (или их аналогов), знание инструментов построения моделей/анализа данных; внимательность, логическое мышление, ответственность, высокая скорость погружения в задачу, самостоятельность.  ваши преимущества??????: у нас ваши идеи не потеряются: предлагайте и обсуждайте, ищите новые решения и экспериментируйте. мы всегда поддержим вас, а ещё предложим:  достойную заработную плату дмс со стоматологией с первого дня работы доступ к корпоративной библиотеке и университету специальный тариф на мобильную связь скидки и бонусы от мтс, мтс банка и наших партнёров отсутствие дресс-кода современный и уютный офис в 2-х минутах от м. технопарк кафе «мечта» с полезными завтраками и вкусными обедами корпоративный спорт: йога, беговое и волейбольное сообщества тренажерный зал в офисе программу материальной помощи в различных жизненных ситуациях поддержку сотрудников: программа материальной помощи в различных жизненных ситуациях ",2023-12-04,28906,москва,мтс финтех,microsoft powerpoint;oracle database;microsoft power bi;sql;разработка bi;анализ данных;системное и интегративное мышление,"3-6",полный день
data analyst (middle),"wildberries приглашает опытного аналитика данных присоединиться к нашей команде и принять участие в развитии одной из крупнейших онлайн-платформ в россии. основные обязанности:  построение пользовательских и внутренних отчётов на базе внутренних данных о продажах и рыночной аналитики участие в разработке и автоматизации регулярных аналитических отчётов выявление и анализ пользовательских поведенческих шаблонов с целью оптимизации бизнес-процессов проведение a/b-тестов и анализ полученных результатов разработка дашбордов для визуализации и мониторинга данных расчет метрик и статистический анализ данных  требования:  опыт работы аналитиком данных от 2 лет отличное знание python и опыт работы с библиотеками анализа данных (numpy, pandas и т.д.) уверенное владение sql (clickhouse) - подзапросы, оконные функции понимание основ статистики и опыт применения статистических методов в анализе данных опыт работы с a/b-тестами и умение проводить их с использованием различных инструментов понимание базовых ml-алгоритмов знание и опыт работы с redash и airflow будет преимуществом    мы предлагаем:  возможность работать в масштабном и динамично развивающемся маркетплейсе интересные проекты и задачи, которые будут способствовать вашему профессиональному росту гибкий график и возможность удаленной работы конкурентную заработную плату и социальные гарантии  если вы готовы принять вызов и применить свои навыки аналитика данных для развития wildberries, откликайтесь на вакансию. мы будем рады приветствовать вас в нашей команде!  ",2023-12-18,28906,москва,wildberries,clickhouse;python;sql,"1-3",удаленная работа
"senior power bi developer (iaea), remote","senior power bi developer the international atomic energy agency (iaea) the iaea is the world’s centre for cooperation for safe, secure and peaceful uses of nuclear technologies. it was established in 1957 and is an autonomous international organization within the united nations system. approximately 2300 scientists, technical and administration personnel from over 100 countries work at the secretariat, implementing the iaea’s programmes. the iaea has six departments covering the fields of nuclear safety and security, nuclear sciences and applications, nuclear energy, technical cooperation, management and safeguards. the iaea also has additional locations in seibersdorf (austria), monaco, trieste, new york, tokyo, and toronto.   the consultant shall have the following mandatory experience and skills:   • a minimum of five (5) years of experience in design, development, and deployment of power bi reports • a minimum of three (3) years of experience in querying rdbms databases including creation of views and functions • experience connecting power bi reports to various data sources such as on-premise sql server, azure cloud database, google analytics, ms excel files, sharepoint lists, apis • experience of deploying reports for integration on public websites, intranet sites • must have in-depth understanding of data modelling and database design • should be able to analyse existing tableau reports with existing data sources and recommend improvements while transitioning to power bi • must be able to write and optimize queries to improve performance efficiency • must have experience preparing data using dax in power bi and other means for use in visualizations especially maps • must have: ability to work independently, strong troubleshooting and problem solving skills • must have: ability to liaise with infrastructure teams for deploying reports and troubleshooting • experience in working in a small size software development team (2 to 4 persons) • experience of working with agile teams is an asset • english is b1+ • the consultant(s) shall have a university degree in software engineering or related subject (e.g., computer science, information science, etc.). please include samples (link or screenshots) of sample power bi reports",2024-01-04,5000,москва,ка натальи зотовой,знание английского языка;microsoft power bi;управление базами данных,"3-6",удаленная работа
инженер данных / data engineer,"ventra go! - сервис для быстрого заказа временного линейного персонала в сфере ритейла, e-comm, логистики и fmcg по uber-модели. ежедневно десятки тысяч пользователей выходят на работу с помощью нашего приложения. платформа позволила изменить пользовательский опыт как для линейного персонала, который получил возможность выводить заработанные средства ежедневно, так и для заказчиков, получающих услугу &quot;под ключ&quot; через мобильное приложение. мы не e-commerce и не поставщик commodity-сервисов. мы выросли в 3 раза за 2023 год, а на 2024 у нас ещё более амбициозные планы. у нас есть множество задач, которые не решил еще ни один сервис в мире. наш продукт - многоуровневый и сложный, а также имеет большую социальную значимость. мы помогаем находить работу и подработку без серых выплат и теневых схем, а также даем возможность найти дополнительный заработок людям из регионов и небольших городов. и сейчас мы в поиске инженера данных, который будет отвечать за инфраструктуру данных в нашей команде. основные задачи:   сборка витрин из сырых данных;   разработка и оптимизация пайплайнов сборки данных;   оптимизация существующих процессов обработки и преобразования данных;   моделирование бд;   создание дашбордов в bi системе;   работа с различными источниками данных: sql, api внешних систем, микросервисы;   разработка продвинутых процедур обработки данных, например с использованием геопространственных библиотек или ml;   внедрять новые инструменты dataops и mlops.   мы ожидаем, что вы:  уверенно владеете python и sql; работали с airflow; имеете опыт визуализации данных с bi инструментами superset, tableu и т.п.; готовы погружаться в предметную область при подготовке витрин данных.  будет плюсом:  опыт работы со spark; опыт работы с kafka; опыт построения сервисов с использованием fastapi; опыт построения сервисов с panel/streamlit/dash/etc; понимание и интерес к data science решениям и ml; опыт работы с любыми mpp субд - greenplum, clickhouse.  мы предлагаем:   достойную заработную плату и прозрачную систему мотивации;   официальное оформление по тк рф;   социальные программы (дмс, оплата больничного, программы мат. помощи, обучения и др.);   дополнительные оплачиваемые выходные дни;   возможность выбирать удобный формат и график работы (мы ок с удалёнкой, а также имеем комфортный офис);  энергичную и дружелюбную команду профессионалов; развитие в новом продукте, который качественно меняет рынок занятости; гибкость во всем, кроме ориентации на результат.  мы верим, что вместе добьемся успеха!",2023-11-22,28906,москва,ventra,apache airflow;api;apache kafka;машинное обучение;postgresql;python;sql;управление базами данных,"1-3",полный день
младший менеджер проектов,"обязанности:   реализация задач на уникальном программном обеспечении;   тестирование на наличие ошибок;  анализ исходных данных, загруженных из учетных систем; сопоставление результатов с внутренними отчетами и учетной системой клиента; описание технических условий для смежных служб организации ведение и отслеживание задач со смежными подразделениями в jira.  требования:  наличие высшего технического, экономического, аналитического образования; уверенный пользователь ms office;  исполнение заданий и проектов в установленные сроки;   соблюдение правил внутреннего распорядка работы в коллективе;  желание развиваться в перспективном направлении с возможностью карьерного роста.  условия:  работа в в обособленном подразделении компании; обучение работе с уникальным программным обеспечением;  широкие возможности карьерного и профессионального роста;   полное техническое обеспечение комфортного рабочего места;  трудовое оформление в соответствии с законами рф; пятидневная рабочая неделя 10:00 – 19:00 с перерывом на обед; отпуск по заранее согласованному с руководством графику;  предусмотрен испытательный срок в соответствии с внутренними порядками.  ",2023-12-11,35000,алтайский край,businescope,аналитическое мышление;многозадачность;информационная грамотность,"0",полный день
аналитик отдела корпоративных продаж omoda & jaecoo,"  для усиления подразделения планирования продаж автомобилей мы приглашаем в команды omoda и jaecoo аналитика.   чем предстоит заниматься:   ежедневный мониторинг основных kpi отдела продаж – оплаты, отгрузки, трафик, контракты, плановые и фактические продажи автомобилей в разрезе дилеров, городов, регионов, брендов, моделей, комплектаций и т.д., а также интерпретация результатов   аналитика рынка автомобилей по маркам, моделям, регионам, городам (на базе внешних источников по продажам и регистрациям автомобилей)   формирование производственного заказа, сбор информации с дилерской сети, анализ полученных результатов, а также размещение заказа в hq   планирование поставок автомобилей из китая, распределение по направлениям для соблюдения сбалансированного модельного микса по регионам   участие в развитии аналитической культуры в компании   взаимодействие с внутренними заказчиками, для определения их потребности в аналитике и отчетности   разработка новых, а также улучшение действующих форм отчетов   тестирование разработанного функционала   участие в создании, развитии и поддержке bi-решений компании (построение дашбордов, по которым можно будет отвечать на оперативные вопросы бизнеса и отслеживать динамику)   поиск отклонений и расхождений в данных, исправление неточностей, лидирование проектов по повышению качества данных   оказание аналитической и технической поддержки в выстраивании бизнес-процессов   ad-hoc запросы от руководителей   мы ожидаем, что вы:   имеете высшее образование, а также опыт работы от 1 года   отлично владеете формулами excel (vlookup, hlookup, sumifs, countifs, index, match, pivot tables, arrays и др.), умеете автоматизировать любое повторяющееся действие в excel   имеете знания для работы в power query (загрузка данных из нескольких источников и их преобразование)   владеете sql на базовом уровне (select, joins, оконные функции), для работы мы используем ssms   имеете опыт работы в bi системах, а также опыт разработки моделей данных (у нас power bi)   знаете английский на уровне, не ниже intermediate (сможете объясняться с коллегами как письменно, так и устно)   умеете работать в режиме многозадачности, внимательны к деталям, «любовь» к цифрам сочетается с готовностью к активной коммуникации с коллегами, и вы нацелены на результат.   условия:  работа в динамичном, быстро развивающемся подразделении крупного международного автомобильного концерна возможность расти вместе с компанией: строить карьеру, развивать профессиональные навыки, формировать тренды в отрасли достойное вознаграждение: в компании действует развёрнутая система бонусов и премий за результаты сильная команда профессионалов автобизнеса скидки на приобретение автомобилей и их техническое обслуживание полис дмс после испытательного срока офис располагается в бизнес-центре класса &quot;а&quot; рядом со станцией метро войковская. основной формат работы, принятый в нашей компании, - оффлайн.  будем рады получить ваше сопроводительное письмо, где вы расскажете самое важное о себе и о ваших ожиданиях от работы в чери автомобили рус.",2023-11-28,28906,москва,чери автомобили рус,"","1-3",полный день
дата аналитик (senior),"usetech – это it-компания, которая занимается разработкой по для крупных отечественных и зарубежных компаний, коммерческих и государственных. мы работаем с 2006 года, и за это время успешно завершили для наших заказчиков более 2 тысяч проектов.мы создаем софт для известных телекоммуникационных и it компаний, топовых банков и производственных предприятий, крупнейших ритейлеров и добывающих компаний. на данный момент мы находимся дата аналитика работать можно из любой точки мира • опыт работы на проектах внедрения/развития хранилищ данных и/или data lake от 3-х лет; • глубокое знание sql (диалект oracle), написание сложных запросов, чтение plsql-кода; • опыт проектирования и разработки отчетности на базе одного из инструментов: ms sql reporting services, tableau, qlikview; • опыт проектирования объектов бд, понимание архитектуры хранилищ данных; • желателен опыт работы с etl-средствами, предпочтительно с informatica powercenter; • опыт работы с трэкинг-системами и, в частности, jira; • плюсом будет опыт работы в финансовых организациях или на проектах в финансовых организациях в роли аналитика данных или системного аналитика (понимание банковской предметной области, в частности, бухгалтерского учета); • плюсом будет знакомство с субд vertica; • навыки описания потоков загрузки данных в хранилища (dwh), составления технической документации (source2target, модель данных и т.д. мы предлагаем:  работу в компании, которая много лет входит в топы самых престижных рейтингов – headhunter, 1-ое место в ежегодном рейтинге «самые лояльные сотрудники 2020» от headhunter. удаленка или офис трудоустройство – только официальное по тк крутая команда, дружный коллектив профессионалов, интересные и сложные задачи на основе современного стека технологий – и потом не говорите, что их оказалось слишком много! полис медицинского страхования ( + стоматология для сотрудников, скидки на страхование для членов семьи); подарки, скидки и сертификаты для детей сотрудников; оплата обучения и сертификаций; регулярные внутренние семинары под эгидой корпоративного университета, посвященные новым технологиям и самым актуальным темам в области разработки, аналитики, тестирования, управления; usetech english club – обучение английскому с корпоративными скидками, разговорный клуб; инкубатор продуктовых идей – реализация перспективной идеи продукта или услуги с поддержкой компании; программа лояльности, основанная на геймификации – возможность заработать внутрикорпоративную валюту за различные достижения и потратить её в онлайн-магазине компании;   ",2023-12-12,28906,москва,usetech,etl;sql,"3-6",полный день
аналитик данных (bi-аналитик),"обязанности:  выполнять работы по внедрению аналитических систем и сервисов. осуществлять разработку/модернизацию и информационную поддержку разработанных аналитических систем/сервисов института с использованием аналитического программного обеспечения; выполнять работы по формированию сложных аналитических отчетов с применением аналитических систем; разрабатывать, модернизировать и выполнять работы по интеграции администрируемых аналитических систем с другими информационными системами, используемыми в институте; выполнять разработку аналитических отчетов в виде информационных панелей (дашбордов). полное сопровождение bi-системы (обновление, резервное копирование, контроль ресурсов на сервере).  требования:  высшее техническое образование (информационные технологии) знания действующего законодательства российской федерации – по вопросам своей компетенции; знания нормативных и методических материалов в области информационных технологий по разработке и внедрению информационных систем. опыт анализа большого объема не структурированной информации; опыт работы с bi-системами; наличие сертификатов по bi (бизнес аналитика); знание sql на уровне написания сложных запросов; опыт ведения ит проектов; опыт разработки технической документации; опыт технической поддержки пользователей; экспертные навыки работы на компьютере; ms excel – умение писать макросы, работать с массивами данных, сводными таблицами; базовые знания одного из языков программирования.  условия:  официальное трудоустройство в соответствии с тк рф; заработная плата + ежемесячные премии, годовое премирование; предоставление всех видов отпусков в соответствии с тк и дополнительных отпусков в соответствии с коллективным договором (в связи с рождением детей, вступлением в брак и т.п.); наличие системы добровольного медицинского страхования (в т.ч. стоматология); страхование от несчастных случаев и болезней; корпоративная система спортивно-оздоровительных мероприятий; частичная компенсация санаторно-курортного лечения и проезда к месту отдыха (для работников и членов семьи); частичная компенсация содержания детей в дет.садах и организация детского оздоровительного отдыха (для детей работников); корпоративное обучение. ",2023-11-27,125000,москва,гипротрубопровод,microsoft excel;microsoft office;microsoft sql server;microsoft power bi;научно-исследовательская работа;разработка bi;управление базами данных,"0",полный день
аналитик (технологический департамент),"компания спортмастер приглашает аналитика в технологический департамент мы предлагаем:  график работы 5/2 с 9.00 до 18.00 или с 8.00 до 17.00 (мск); заработная плата - до 79000 р. &quot;на руки&quot; полностью официальная; перспективы профессионального, карьерного и финансового роста; работа в крупной стабильной российской компании - лидере на рынке розничных торговли для спорта и отдыха; корпоративная скидка на продукцию сети магазинов спортмастер, ostin, funday; обучение и сертификация за счет компании: онлайн-школы английского языка - skyeng, language link,корпоративная библиотека alpina digital, дистанционное образование от университета «синергия», а также множество других корпоративных программ и скидок; место работы: балашиха новомилетское шоссе вл. 2   задачи:   углубленный анализ складских показателей.   разработка рекомендаций для других групп, отделов, для планирования изменений по процессам.   выгрузки из базы данных wms (система управления складом) с использованием sql запросов, по запросу руководителя, так и для самостоятельного анализа.   отслеживание основных kpi с точки зрения контроля складских операций.   мы ждем от вас:  образование высшее;  уверенный пользователь microsoft office;   навыки работы с большим объёмом информации;   опыт работы аналитиком от 1 года (уверенный пользователь sql);   знание power bi (достаточно средний уровень);  умение проводить анализ, делать выводы и умение дать комментарий; приветствуется опыт работы на складах класса а. ",2023-12-05,79000,московская область,спортмастер,битрикс;разработка bi;microsoft excel;microsoft sql server;sql;tableau;научно-исследовательская работа;аналитическое мышление;математический анализ;информационная грамотность,"1-3",полный день
стажер аналитики power bi,"аудиторско-консалтинговая группа капитал, рада предложить тебе стать частью нашей команды. мы находимся в поиске стажера аналитики power bi в отдел управленческой отчетности. нам нужен начинающий специалист в power bi, который хочет дальше развиваться в профессии, а мы готовы вкладываться в твое развитие. перспектива в ближайшие 2 месяца с дня стажировки стать junior, и продолжить развивать свои профессиональные компетенции. в сопроводительном письме на вакансию будем от тебя ждать ссылку на твои работы! что нужно делать:  составление отчетов в power bi по техническим заданиям администрирование и поддержка текущих отчетов pbi (исправление ошибок, обновление данных) выгрузка источников данных из баз 1с  если у тебя есть:  знание power bi, power query (основы) знание основ инфографики опыт работы с основными управленческими отчетами (отчет о движении денежных средств, отчет о доходах и расходах, управленческий баланс) - является преимуществом знание основных конфигураций 1с:8.3 (ка, ут.11, бухгалтерия) - является преимуществом  power bi, excel, знание 1с будет являться преимуществом     наши условия на период стажировки:  у нас есть разработанная система обучения которая занимает 2 месяца до juniora  помощь в обучении и адаптации   участие в разнообразных проектах как отдела так и компании в целом   стажировка в офисе, после - готовы обсудить гибридный график работы   оформление с первого дня стажировки     в сопроводительном письме на вакансию будем ждать от тебя ссылку на твои работы!",2023-12-06,35000,свердловская область,"капитал, аудиторская группа",microsoft excel;microsoft power bi;коммуникативная грамотность;стрессоустойчивость,"0",полный день
