Название вакансии,Описание вакансии,Дата публикации,Заработная плата,Название региона,Работодатель,Ключевые навыки,Опыт работы,График работы
Продуктовый аналитик в WMS,"KazanExpress — это федеральная компания, работающая в 120 городах России. Каждый день бы принимаем от 100 000 заказов в сутки и помогаем более 5 миллионам пользователей находить нужные вещи быстро и удобно. Чтобы этот сложный механизм работал слаженно, мы собираем сильную IT-команду. У нас уже больше 200 разработчиков. Каждый день они улучшают платформу, тестируют новые фичи, разрабатывают решения для оптимизации, апгрейдятся, обмениваясь знаниями и оттачивая скиллы. Это сообщество — закрытое, но при этом оно лишено формальностей: каждый может подойти к каждому и попросить помощи или совета. Проактивность, четкая схема работы, постоянный обмен опытом между командами, индивидуальный подход к каждому специалисту и разнообразие проектов — вот что мы любим.Сейчас мы в поиске продуктовых аналитиков в направление WMS (warehouse management system). Наша команда занимается поддержкой и развитием складских процессов Uzum маркета.Продукт нашей команды - продуктивная и бесперебойная работа IT-продукта. С нами ты будешь поддерживать и развивать процессы склада, использовать статистику, делать аб-тесты, программировать на Python, автоматизировать пайплайны работы с данными и много всего другого.    Задачи:  Чем предстоит заниматься:  поддерживать и развивать процессы склада; использовать статистику; делать аб-тесты; программировать на Python; автоматизировать пайплайны работы с данными и много всего другого.    Что мы от вас ожидаем:     Знание статистики и теории вероятности;   Python и библиотеки работы с данными;   Опыт проведения исследований, основанных на данных;   SQL;   Опыт работы с любой BI-системой;   Ориентированность на бизнес-результат.   Наш стэк:  Python SQL (Clickhouse, PostgreSQL) Airflow Datalens / Grafana    Мы предлагаем:   стабильность и уверенность в завтрашнем дне: официальное оформление, зарплату без задержек и положенные законом отчисления в пенсионный фонд;   комфортные условия: корпоративное жилье для иногородних сотрудников, современный офис класса «А» с кафетерием;   надежную страховку и внимание к здоровью: через три месяца оформляем полис ДМС, в который входят не только терапевты и узкие специалисты, но и стоматология, а также консультации психологов;   возможности для карьерного роста и прогресса: обучение, наставничество и поддержку в период адаптации, а также бесплатные развивающие курсы в любой удобный для вас момент;   реферальную программу «Приведи друга»: если вы приводите в компанию нового сотрудника, вы получаете бонус;   скидки на услуги: мы сотрудничаем с онлайн-школами английского, различными платформами с курсами, сетями книжных магазинов, медицинских учреждений.    ",2023-12-19 00:00:00 +0700 +07,0,Республика Татарстан,КАЗАНЬЭКСПРЕСС,ClickHouse;PostgreSQL;Python;SQL;Анализ данных;Управление базами данных,1-3,Полный день
Аналитик BI,"Мы ищем в нашу команду МЕНЕДЖЕРА ОПЕРАЦИОННОЙ ОТЧЁТНОСТИ/ АНАЛИТИК BI ПРЕДСТОЯЩИЕ ЗАДАЧИ:  Разработка новых отчётов и дашбордов в BI системах; Разовые запросы по бизнес/технической аналитике: выявление причин расхождений в системах, показателях, бизнес-анализ; Наполнение метаслоя BI систем: описание бизнес-логики новых показателей на wiki, ведение задач в Jira от заведения до тестирования, внедрение выверенных мер и атрибутов в отчёты BI; Администрирование процессов Розницы: отчётов, KPI, первичных данных; Ежедневная отчётность по результатам деятельности департамента.  КАКОЙ ОПЫТ НАМ НУЖЕН:  Опыт работы от 2-х лет на аналогичной позиции; Опыт работы с BI инструментами будет преимуществом; Отличное владение Excel (ВПР, сводные таблицы); Умение подготовить отчёт и сделать выводов на их основе; SQL (достаточно чтения, понимания); Аналитический склад ума; Хорошие коммуникативные навыки: грамотная устная и письменная речь.  ЧТО МЫ ПРЕДЛАГАЕМ:  Работа в стабильной компании, лидере рынка в своём сегменте; Официальное трудоустройство по ТК РФ; Оформление ДМС после прохождения испытательного срока; Полный социальный пакет (оплата больничного, ежегодного отпуска);Льготные тарифы мобильной связи; Возможность развития профессиональных качеств, возможность проявить свою инициативу, а также участвовать в крупных внутренних проектах; Корпоративные скидки и привилегии: скидка сотрудника в магазинах сети, скидки партнёров, BestBenefits, и т.д.; Формат работы: 5/2 с 10.00 до 19.00, сам офис находится в шаговой доступности (7-10 мин. пешком) от м. Бауманская/Красносельская; Гибридный график работы (1 день удалённой работы после прохождения испытательного срока).  При отправлении отклика в сопроводительном письме необходимо указать уровень дохода, на который Вы ориентируетесь. Спасибо!",2023-12-19 00:00:00 +0700 +07,0,Москва,М.Видео-Эльдорадо,Microsoft Power BI;SQL;Tableau;Продажи;Анализ продаж;Аналитическое мышление;Разработка BI;Визуализация данных;Коммуникативная грамотность;Создание презентационных материалов;Умение принимать решения,1-3,Полный день
Менеджер группы бизнес аналитики (BI Manager),"Обязанности:  Поддержка и развитие аналитических решений:  для хранения данных (база данных SQL, OLAP) для преобразования и загрузки данных (ETL, SSIS, Python) для отчетности и визуализации данных (MS SSAS, Power BI, Power Point, Excel,) для мониторинга KPI коммерческого отдела, мониторинг KPI в течении отчетного периода, участие в закрытие KPI коммерческого отдела.   Развитие направления анализа данных: поиск закономерностей, построение и обучение моделей; Кросс функциональное взаимодействие с различными департаментами Компании, в первую очередь коммерческим, логистическим и финансовым, а также с ИТ коллегами, для разработки, развития и поддержки отчетов и аналитических инструментов, использующихся использующихся для мониторинга эффективности бизнеса и принятия бизнес-решений; Анализ требований к отчетам, выбор источников данных и необходимой логики расчетов, разработка решения и его сопровождение; Полный цикл разработки от back end до front end; Контроль качества источников данных и корректности данных в хранилище данных, исправление ошибок, поддержка пользователей, включая консультирование и обучение, ведение документации по аналитическим инструментам компании; Участие в проектах по развитию и трансформации BI платформы. Внедрение новых и развитие существующих методов работ с данными и анализа данных, в том числе интегрированного процесса бизнес-планирования (IBP); Формирование ответов на аналитические запросы бизнеса, облегчения доступа к данным бизнеса; Управления безопасностью данных; Предлагать улучшения, изменения и контролировать исполнение внутренних регламентов;  Требования:  опыт работы в сфере построения и поддержки аналитических (BI / AI) систем не менее 5-ти лет; владение английским языком на уровне не ниже upper-intermediate; опытный пользователь MS Office и Power BI; опыт разработки и программирования ETL процессов на базе MS SSIS и Python;  Опыт работы с SQL;  базовые знания языка DAX, создание сложных мер и бизнес логики в моделях данных SSAS, Power BI; разработка и поддержка OLAP кубов (Tabular Mode); опыт разработки и внедрения BI систем;  Условия:  Оформление по ТК РФ; Ежегодный бонус; ДМС, страхование жизни, компенсация питания; Компенсация мобильной связи; Комбинированный график работы; Зеленый офис недалеко от метро. ",2023-12-05 00:00:00 +0700 +07,0,Москва,Bonduelle,,3-6,Полный день
Data Engineer (remote),"LATOKEN is the supermarket of assets where it is easy to discover, exchange, earn and spend crypto. Mission: Well-structured and secure data and monitoring. Story: Product, Finance, OKRs, and Dash Teams need well-structured and secure data and monitoring to analyze and track the improvement of the services and product performance. Key PROBLEM&#39;s:  The monitoring system alerts for any downtime, latency, or success rate issues of the services. All company data and events are merged and consolidated into the Data Base (DWH, PostgreSQL, Segment, Indicative, Google Analytics) to support the Monitoring system, Token Discovery, OKRs and Analytical Dashes. Acquisition channels, conversions, and users are correctly mapped and easy to access. Token DB is representative of the market and token data is correct and complete with on-chain and smm data. (30k tokens by end of April)  How:  Create new data pipelines for business need. Maintain scripts and pipelines in case of problems or new requirements. Define necessary events, set up recording and make available for reports and dashboards. Maintain and update token DB.  Constraints:  All OKRs of the company are consolidated into Platform Ops. All scripts are consolidated into Gitlab.  Main performance number: Ops OKR HealthSecond performance number: Query response time, sec avgFunctions:• OKRs Health : Calculate OKRs correctly, daily and in time• DWH objects audit• Queries : Advice on optimization and writing queries to databases.• Data quality : Keep data in order and provide reliable reporting• Automation : Automation of OKRs and slack bots for automated ops processes• Audit : Audit of DWH state and automated scriptsRequirement skills and experience: 2+ years of PostgresSQL; 2+ years of experience writing Python scripts and applications for loading data; Experience in configuring a database in a high-availability architecture; Experience in database optimization for different load profiles; Experience in automating data loading from different sources (CRM, ERP, Web resources) Eager to work with people with high-performance standards Will be a plus: Experience with financial data Experience as a data/product analyst Knowledge of blockchain-technologies ",2023-12-05 00:00:00 +0700 +07,2500,Москва,LATOKEN,Работа в CRM-системах;DWH;Работа с ERP-системами;Python,3-6,Удаленная работа
Аналитик данных,"Чем предстоит заниматься:  сбор и обработка информации внутри компании, взаимодействие с другими подразделениями; анализ данных по заданным критериям из систем: 1С: Бухгалтерия, корпоративный портал и система календарно-сетевого планирования (MS project, SpiderProject и др.); проведение анализа данных и проверка гипотез; подготовка прогнозов на основе данных; построение отчетности (excel, Power BI) на основании анализа; создание визуального ряда по итогу работы (таблицы, графики, диаграммы, презентационные материалы).    Что ожидаем:  высшее образование, наличие сертификатов об обучении, связанных с аналитикой данных приветствуется; аналитический склад ума, умение визуализации информации; хороший уровень владения Excel, Power Point; знание PowerBI будет преимуществом для кандидата; работа в команде, гибкость, лояльное отношение к рабочему процессу; опыт работы не менее 1 года по данной специальности.    Что интересного у нас есть:  график работы (в офисе компании или гибридный ) 5/2 с 8:30 до 17:30, в пятницу сокращенный рабочий день до 16:15; оформление по ТК РФ, официальная &quot;белая&quot; заработная плата (обсуждается индивидуально) оклад + премия; интересные проекты и задачи; дружная команда, которая проведет обучение в системе управления проектами SpiderProject; предоставление корпоративной мобильной связи; работа в благоустроенном офисе в Бизнес-центре вблизи м. Алтуфьево; полноценное и укомплектованное рабочее место в офисе. ",2023-12-05 00:00:00 +0700 +07,0,Москва,Альмакор - Динамичные Решения,Microsoft Excel;Microsoft PowerPoint;Microsoft Power BI;Аналитическое мышление,1-3,Полный день
Аналитик,"Компания ООО «Группа Север» работает на российском рынке по продаже мебельной фурнитуры и плитных материалов с 2007г. Реализуем древесные плиты: ( ЛДСП, фанеру, МДФ, ДВП, ДВПО, ХДФ, ). Являемся официальными дилерами в Нижнем Новгороде: ЗАО «ЧФМК» (г. Череповец), ООО «Увадрев-Холдинг» (г. Ижевск). Если производите корпусную мебель, наша компания поможет в поставке материалов и комплектующих. На сегодняшний день активно развивается направление мебельное производство.Специализируемся на работе с оптовыми клиентами и розничными покупателями Обязанности:  Прогнозирование объемов и сроков производства Разработка и ведение отчетов и дэшбордов.  Пожелания к кандидату: • Опыт работы аналитиком от 2-х лет в сфере анализа рынков (преимущественно производственные).• Опыт работы с аналитическими данными, в том числе с внешними подрядчиками (включая иностранные).• Проактивность• Опыт работы в выстраивании бизнес-процессов Требования:  Знание Excel, 1С, Word, Битрикс 24 Способность работать с большим объемом информации Обучаемость, усидчивость, внимательность, коммуникабельность.  Условия:  Работа в стабильно развивающейся компании График: 5/2 Полный соц. пакет Трудоустройство по ТК. ",2023-11-28 00:00:00 +0700 +07,50000,Нижегородская область,Группа Север,Разработка BI;Анализ данных;Аналитическое мышление;Информационная грамотность;Работа в команде,1-3,Полный день
"Аналитик данных (big data), фарм отрасль","Мы компания-разработчик специализированного ПО и баз данных для фармацевтической отрасли. Наша компания является ведущим поставщиком передовых аналитических и технологических решений для фармацевтической отрасли. Наши базы данных и аналитические отчеты являются золотым стандартом в фарм отрасли и используются специалистами ведущих фарм компаний для принятия важнейших решений, касающихся их лекарственных средств. Мы приглашаем Вас присоединиться к нам в качестве Аналитика данных. Работая с нами, Вы не только присоединитесь в одной из лучших экспертных команд в области big data, но и сможете внести свой личный вклад в развитие здравоохранения. Основные задачи:  Анализ больших массивов данных с использованием статистических методов Ведение базы данных по проекту на ежемесячной основе: обеспечение достоверности статистических сведений, загрузка, проверка, обработка данных, контроль качества Создание аналитических материалов по запросам клиентов, подготовка отчетов Взаимодействие со специалистами других отделов в рамках проекта  Необходимые знания и навыки:  Законченное высшее образование Хорошие знания теории вероятности и математической статистики Опыт сбора и анализа статистической информации Знание принципов работы баз данных Продвинутый пользователь Excel (сводные таблицы, диаграммы), PowerPoint Знание SQL на продвинутом уровне - написание сложных запросов, процедур Опыт работы с Hadoop, написание запросов Impala, Hive Английский язык (не ниже Intermediate)  Вашими преимуществами будут:  Высшее математическое, техническое или экономическое образование Знание Python Знание фармацевтического рынка  В кандидатах мы ищем такие качества как:  Аналитический склад ума Умение систематизировать информацию и делать выводы Инициативность Проактивность  Условия:  Возможность присоединиться к команде глобального масштаба. Вы сможете познакомиться с экспертами, создающими лучшие IT решения для фарм отрасли и стоящими на передовой развития big data и data science в мире Оформление по ТК РФ Белая заработная плата ДМС со стоматологией, страхование жизни, компенсация питания, премии по результатам работы Есть возможность работать удаленно из дома или из офиса (м. Савеловская / м. Марьина Роща) Вы сможете участвовать в наших волонтёрских и благотворительных акциях ",2023-11-28 00:00:00 +0700 +07,0,Москва,разработчик специализированного ПО и баз данных для фармацевтической отрасли,,1-3,Полный день
Аналитик данных (data science),"В связи с запуском нового проекта мы ищем специалиста на позицию Аналитик данных (Data Scientist ).Мы приглашаем принять участие в создании сервиса, который оптимизирует процессы получения корректных данных и прогноза их изменений. Обязанности:  Сбор, анализ, кластеризация данных Подготовка отчета о проведенном анализе, его визуализация Разработка метрик для определения вероятности событий (анализ динамики, выработка стратегии влияния на метрики) Построение матрицы корреляционных гипотез Участие во внедрении ML-решений  Требования:  Высшее образование (математика, физика) Опыт построения системы сбора данных и их анализа  Умение и готовность самостоятельно собирать отчеты из разных систем   Стратегическое мышление   Знание Python, C# желательно     Условия:  Перспективная работа в современной компании с прогрессивными идеями Оформление по ТК РФ с первого дня Белая заработная плата по результатам собеседования полное соблюдение социальных гарантий: оплата отпусков, больничных листов График работы: гибридный ",2023-12-01 00:00:00 +0700 +07,0,Санкт-Петербург,Система,Визуализация данных;Машинное обучение,1-3,Полный день
BI Analyst (Middle/Senior),"TAGES работает на рынке IT с 2012 года. Компания занимается проектированием, разработкой и поддержкой digital-решений для автоматизации бизнеса. Мы предоставляем своим клиентам полный цикл разработки программного обеспечения с использованием индивидуальных бизнес-решений и актуальных технологий. Компания TAGES начинала с e-com разработки и автоматизации процессов, но на данный момент мы оказываем услуги в области сложных кастомных разработок для крупных российских компаний, таких как Леруа Мерлен, Технониколь, М.Видео, Сбербанк, Альфа-банк, Яндекс.Лавка и др. Мы интегрируем свою инжиниринговую команду в бизнес заказчика, чтобы на выходе предложить ему оптимальное решение на основе существующих платформ и собственных разработок. Наша команда инженеров, аналитиков, руководителей проектов, UI/UX- и QA-специалистов TAGES осуществляет экспертизу в области автоматизации бизнес-процессов для совершенно разных отраслей. Компания представлена в четырех городах и двух странах.С 15.06.2020 г. компания состоит в Реестре Аккредитации №11563. Должностные обязанности:  Работа над полным циклом задач BI (в основном Apache Superset) ; Сбор, анализ и формализация требований для построения дашбордов (программно-проектное управление, производственные процессы, финансовые и ресурсные аналитики); Разработка отчётов и дашбордов в BI по запросам от заказчиков; Анализ и оптимизация текущих дашбордов и отчетов в BI, их поддержка; Работа с базами данных SQL: выгрузка данных из базы SQL, создание витрин и моделей для проектов в BI, получение данных по API, обработка ETL, анализ и визуализация через BI-системы и др.отчеты; Подготовка отчетов и презентаций для передачи владельцам бизнеса.  Требования:   Владение инструментами BI-аналитики;   Уверенное владение Python, SQL ( или любым языком программирования);   Аналитический склад ума, умение видеть физический смысл за цифрами и данными;   Опыт статистического анализа - выборки данных, регрессионный и факторный анализ;   Опыт работы с большими объёмами данных;  Письменный &quot;технический&quot; английский.  Для нас важно, чтобы вы приходили с утра на работу с радостью и чувствовали себя, как дома. Поэтому в наших офисах мы сделали все возможное, чтобы сотрудники чувствовали нашу поддержку и заботу. Мы предлагаем:   Просторные и комфортные офисы в четырех городах и возможность командировок и релокации с удобным графиком работы;   Уютную кухню с кофеваркой, чаем и вкусностями и бесплатные обеды;   Официальную и конкурентную заработную плату (по результатам собеседования) и оформление согласно ТК РФ;   Использование в работе передовых технологий;   Известные клиенты и интересные задачи;   Библиотеку с интересной и актуальной литературой;   Субсидирование обучения, участие в профильных конференциях как слушатель;   Сопровождение и подготовка спикеров на внешние конференции;   Два больших корпоратива в год (Конференция TAGES и Новый год);   Внутренние MeetUps и Talks (онлайн и оффлайн);   Дружную команду #TAGESTEAM и человекоориентированную корпоративную культуру.  ",2023-11-27 00:00:00 +0700 +07,290000,Санкт-Петербург,Тагес Джамп,Разработка BI;Анализ данных;ETL;Git;PostgreSQL;Python;R;SQL;Apache Superset;Анализ данных;Анализ данных;Аналитическое мышление,1-3,Полный день
BI Analyst (Middle/Senior),"TAGES работает на рынке IT с 2012 года. Компания занимается проектированием, разработкой и поддержкой digital-решений для автоматизации бизнеса. Мы предоставляем своим клиентам полный цикл разработки программного обеспечения с использованием индивидуальных бизнес-решений и актуальных технологий. Компания TAGES начинала с e-com разработки и автоматизации процессов, но на данный момент мы оказываем услуги в области сложных кастомных разработок для крупных российских компаний, таких как Леруа Мерлен, Технониколь, М.Видео, Сбербанк, Альфа-банк, Яндекс.Лавка и др. Мы интегрируем свою инжиниринговую команду в бизнес заказчика, чтобы на выходе предложить ему оптимальное решение на основе существующих платформ и собственных разработок. Наша команда инженеров, аналитиков, руководителей проектов, UI/UX- и QA-специалистов TAGES осуществляет экспертизу в области автоматизации бизнес-процессов для совершенно разных отраслей. Компания представлена в четырех городах и двух странах.С 15.06.2020 г. компания состоит в Реестре Аккредитации №11563. Должностные обязанности:  Работа над полным циклом задач BI (в основном Apache Superset) ; Сбор, анализ и формализация требований для построения дашбордов (программно-проектное управление, производственные процессы, финансовые и ресурсные аналитики); Разработка отчётов и дашбордов в BI по запросам от заказчиков; Анализ и оптимизация текущих дашбордов и отчетов в BI, их поддержка; Работа с базами данных SQL: выгрузка данных из базы SQL, создание витрин и моделей для проектов в BI, получение данных по API, обработка ETL, анализ и визуализация через BI-системы и др.отчеты; Подготовка отчетов и презентаций для передачи владельцам бизнеса.  Требования:   Владение инструментами BI-аналитики;   Уверенное владение Python, SQL ( или любым языком программирования);   Аналитический склад ума, привычка видеть физический смысл за цифрами и данными;   Опыт статистического анализа - выборки данных, регрессионный и факторный анализ;   Опыт работы с большими объёмами данных;  Письменный &quot;технический&quot; английский.  Для нас важно, чтобы вы приходили с утра на работу с радостью и чувствовали себя, как дома. Поэтому в наших офисах мы сделали все возможное, чтобы сотрудники чувствовали нашу поддержку и заботу. Мы предлагаем:   Просторные и комфортные офисы в четырех городах и возможность командировок и релокации с удобным графиком работы;   Уютную кухню с кофеваркой, чаем и вкусностями и бесплатные обеды;   Официальную и конкурентную заработную плату (по результатам собеседования) и оформление согласно ТК РФ;   Использование в работе передовых технологий;   Известные клиенты и интересные задачи;   Библиотеку с интересной и актуальной литературой;   Субсидирование обучения, участие в профильных конференциях как слушатель;   Сопровождение и подготовка спикеров на внешние конференции;   Два больших корпоратива в год (Конференция TAGES и Новый год);   Внутренние MeetUps и Talks (онлайн и оффлайн);   Дружную команду #TAGESTEAM и человекоориентированную корпоративную культуру.  ",2023-11-27 00:00:00 +0700 +07,300000,Москва,Тагес Джамп,Разработка BI;Анализ данных;ETL;Git;PostgreSQL;Python;R;SQL;Apache Superset;Анализ данных;Анализ данных;Аналитическое мышление,1-3,Полный день
Аналитик-разработчик данных,"Требования  Высшее образование в сфере IT. Умение писать четкий, внятный программный код. Умение разбираться в чужом коде. Знание языка структурированных запросов SQL. Знания основ языка JavaScript. Знание одной из перечисленных BI-платформ: PowerBI, QlikView, Tableu, Visiology. Знание ПО 1С: ERP, Документооборот, ЗУП. Аналитический склад ума, стрессоустойчивость, исполнительность, инициативность, желание к саморазвитию и обучению.  Обязанности  Разработка и составление аналитических отчетов (дашбордов) в BI-платформе Visiology. Написание SQL запросов к реляционным базам данных для сбора и обработки данных и приведения их в удобный для анализа вид. Администрирование BI-системы Visiology: публикация отчетности, предоставление доступов, назначение ролей, настройка обновлений. Обеспечение технической поддержки BI-системы Visiology: консультации, вопросы, обучение.  Условия  Работа на крупном развивающемся предприятии. Официальное трудоустройство в соответствии с ТК РФ. Достойная заработная плата. Расширенный соц. пакет (ежегодная индексация заработной платы, доплата за выслугу лет и др.). Полис ДМС. Обучение, повышение квалификации и возможность карьерного роста. Корпоративные мероприятия (праздники в формате активного отдыха на горнолыжных базах, туристические слеты, концертные мероприятия, детские праздники для сотрудников с детьми). Спортивные секции (бассейн, волейбол, футбол, хоккей, парашютная секция, фитнес-клуб на корпоративных условиях) и соревнования (по футболу, настольному теннису, боулингу, бильярду и др.). Софинансирование абонемента в фитнесс зал. Ведомственный детский сад. Район работы: г. Екатеринбург, ул. 8 марта 49, БЦ «Арена». График работы: 5/2 с 08.00 до 17.00. Отсрочка от службы в армии. ",2023-11-22 00:00:00 +0700 +07,103000,Свердловская область,Уральский завод гражданской авиации,,1-3,Полный день
Операционный аналитик middle (удаленно),"О КОМПАНИИ: В нашей компании есть 2 больших направления деятельности:   B2B - ПРОЕКТ TOPDOER / SERVICE PRO:   Обслуживание ведущих каршеринговых и кикшеринговых компаний в России.   Организация более 200,000 услуг ежемесячно, используя собственные ИТ-разработки.   Эффективное управление тысячами исполнителей для различных операционных бизнесов.   Лидеры рынка в своем сегменте.   Выход на международные рынки в 2023 году: Казахстан, Сербия, Израиль.     B2C - ПРОЕКТ UCAR:   Цифровая революция в индустрии автоуслуг с рынком более 2 трлн. рублей.   Цель - создать продукт, удовлетворяющий потребности любого автовладельца.   Предоставление услуг мойки, технического обслуживания, ремонта, шиномонтажа и др.   Управление информацией об автомобиле и историей взаимодействия с ним.   Команда с опытом работы в таких компаниях, как Uber, Яндекс, McKinsey, BCG, PwC, Deloitte.   Финалисты акселераторов United Investors, Startup Drive (от ГазпромНефть), GoGlobal.   Резидент Сколково.     ЧЕМ ЗАНИМАЕТСЯ БИЗНЕС-АНАЛИТИК У НАС:   Описывает и систематизирует бизнес-процессы.   Консолидирует данные из различных источников для создания дашбордов.   Разрабатывает бизнес-метрики, отражающие &quot;здоровье&quot; направлений.   Анализирует юнит-экономику по бизнес-сегментам   Осуществляет мониторинг операционных показателей   ТРЕБОВАНИЯ:   Опыт работы бизнес-аналитиком от 3 лет.   Уверенное владение SQL и Excel/Google Sheets - супер важно   Развитый business sense.   Аналитический склад ума, внимательность к деталям, самостоятельность.   Проактивность, любопытство и желание во всем разобраться   Умение быстро погружаться в процессы и показатели   КРУТО, ЕСЛИ ВЫ:   Имеете опыт работы с BI инструментами, такими как Tableau, Power BI   Имеете опыт работы с BigQuery и знание JavaScript будут большим плюсом.   Умеете решать сложные задачи, используя системный, структурный подход, и всегда доводите их до конца   Не боитесь брать на себя ответственность и мыслите результатами, а не затраченными часами.   Проактивны и вам непонятны фразы “Это не моя работа”, “Я за это не отвечаю”.   Умеете организовывать свои задачи и работать самостоятельно.   Имеете сильный аналитический бэкграунд и любите работать с числами, но при этом понимаете, как числа связаны с бизнесом.   Работали в консалтинге, IT-компаниях, стартапах.   ЧТО МЫ ПРЕДЛАГАЕМ:   Гибридный (для Москвы) или удаленный формат работы   Конкурентный уровень дохода   Agile подход в компании   Большая свобода и ответственность в работе   Возможность роста вместе с быстроразвивающейся компанией   Молодая и мотивированная команда. Регулярные посиделки в офисе в Москве с вином, пиццей и настольными играми :)   Присоединяйтесь к нам, если вы готовы к вызовам и стремитесь к профессиональному росту в динамичной и гибкой среде стартапа! :)",2023-11-22 00:00:00 +0700 +07,100000,Москва,Ucar,Google Sheets;Microsoft Excel;SQL;Разработка BI;Анализ данных;Управление базами данных;Разработка BI;Информационная грамотность,3-6,Удаленная работа
